Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	k141_5374_155	217	205	8.5e-05	19.1	174009	174659	k141_5374	155	0.31797235023041476	0.24390243902439024	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_4117_32	212	94	6.6e-19	65.9	31272	31907	k141_4117	32	0.49056603773584906	0.9893617021276596	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_5374_1005	232	94	0.0071	14.5	1054396	1055091	k141_5374	1005	0.5129310344827587	0.851063829787234	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_5374_1379	241	94	6.6e-19	65.9	1438972	1439694	k141_5374	1379	0.4315352697095436	0.9893617021276596	1
2OG_1_CAS-I-II-III-IV-V-VI	k141_8257_154	571	94	0.0082	14.3	181008	182720	k141_8257	154	0.12784588441331	0.723404255319149	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_8257_155	266	94	2.6e-07	28.7	182732	183529	k141_8257	155	0.3533834586466165	0.9893617021276596	-1
2OG_1_CAS-I-II-III-IV-V-VI	k141_8257_469	223	94	6.1e-20	69.2	492724	493392	k141_8257	469	0.4663677130044843	0.9893617021276596	-1
AbiEii_0_CAS-III	k141_13406_3	613	284	0.015	12.3	3817	5655	k141_13406	3	0.08319738988580751	0.18661971830985916	1
AbiEii_0_CAS-III	k141_13406_44	304	284	8.3e-08	29.5	51228	52139	k141_13406	44	0.29276315789473684	0.30633802816901406	-1
AbiEii_0_CAS-III	k141_5374_1097	340	284	0.0047	13.9	1135342	1136361	k141_5374	1097	0.24411764705882352	0.2992957746478873	-1
AbiEii_0_CAS-III	k141_5374_1382	355	284	0.016	12.2	1442319	1443383	k141_5374	1382	0.14084507042253522	0.176056338028169	-1
AbiEii_0_CAS-III	k141_5374_1450	246	284	0.00042	17.4	1508311	1509048	k141_5374	1450	0.3902439024390244	0.33098591549295775	1
AbiEii_0_CAS-III	k141_5374_1483	556	284	0.0092	13.0	1543961	1545628	k141_5374	1483	0.1564748201438849	0.29577464788732394	1
AbiEii_0_CAS-III	k141_5374_189	264	284	0.00014	19.0	211822	212613	k141_5374	189	0.44696969696969696	0.397887323943662	-1
AbiEii_0_CAS-III	k141_5374_226	316	284	5.3e-11	40.0	248320	249267	k141_5374	226	0.3291139240506329	0.3415492957746479	1
AbiEii_0_CAS-III	k141_5374_500	225	284	0.00027	18.0	522270	522944	k141_5374	500	0.3288888888888889	0.24647887323943662	-1
AbiEii_0_CAS-III	k141_5374_688	249	284	0.0011	16.0	718654	719400	k141_5374	688	0.30120481927710846	0.25704225352112675	-1
AbiEii_0_CAS-III	k141_5374_904	363	284	0.031	11.3	915669	916757	k141_5374	904	0.2231404958677686	0.25704225352112675	1
AbiEii_0_CAS-III	k141_5374_906	246	284	0.00018	18.6	917532	918269	k141_5374	906	0.36585365853658536	0.30985915492957744	1
AbiEii_0_CAS-III	k141_6950_116	278	284	0.00019	18.5	114780	115613	k141_6950	116	0.3237410071942446	0.323943661971831	1
AbiEii_0_CAS-III	k141_6950_166	610	284	0.002	15.2	169969	171798	k141_6950	166	0.16065573770491803	0.323943661971831	-1
