Contig	Start	End	Strand	Pos
k141_2958	1	117	1	1
k141_2958	193	2676	1	2
k141_3264	1	327	1	1
k141_3264	440	1189	1	2
k141_3264	1186	1599	1	3
k141_3264	1596	2123	1	4
k141_3264	2120	2608	1	5
k141_3264	2702	3406	1	6
k141_3264	3478	3957	1	7
k141_3585	3	1637	1	1
k141_4117	456	1112	-1	1
k141_4117	1137	1673	-1	2
k141_4117	1673	2638	-1	3
k141_4117	2643	3902	-1	4
k141_4117	4049	4285	-1	5
k141_4117	4421	5428	-1	6
k141_4117	5664	6098	1	7
k141_4117	6276	8069	-1	8
k141_4117	8263	9465	1	9
k141_4117	9476	10372	1	10
k141_4117	10590	11198	-1	11
k141_4117	11357	12778	1	12
k141_4117	12786	12977	-1	13
k141_4117	13218	14891	1	14
k141_4117	14895	15305	-1	15
k141_4117	15479	17146	1	16
k141_4117	17239	18027	1	17
k141_4117	18009	19214	1	18
k141_4117	19211	20125	1	19
k141_4117	20125	20778	1	20
k141_4117	20845	21453	1	21
k141_4117	21528	22637	1	22
k141_4117	22644	24566	-1	23
k141_4117	24686	25339	-1	24
k141_4117	25339	25776	-1	25
k141_4117	25773	26300	-1	26
k141_4117	26297	28366	-1	27
k141_4117	28379	28840	-1	28
k141_4117	28837	28977	-1	29
k141_4117	28977	29732	-1	30
k141_4117	29829	30896	-1	31
k141_4117	31272	31907	1	32
k141_4117	31895	32449	1	33
k141_4117	32525	32749	-1	34
k141_4117	32843	33322	-1	35
k141_4117	33356	34042	-1	36
k141_4117	34042	36780	-1	37
k141_4117	37012	38136	-1	38
k141_4117	38129	39292	-1	39
k141_4117	39308	40081	-1	40
k141_4117	40068	40745	-1	41
k141_4117	40764	41321	-1	42
k141_4117	41325	42044	-1	43
k141_4117	42412	43290	1	44
k141_4117	43381	44064	1	45
k141_4117	44012	44479	1	46
k141_4117	44574	45500	-1	47
k141_4117	45606	46358	-1	48
k141_4117	46655	46915	1	49
k141_4117	46896	47777	-1	50
k141_4117	47812	48564	-1	51
k141_4117	48714	49790	1	52
k141_4117	49751	50917	-1	53
k141_4117	51429	51635	-1	54
k141_4117	52195	52668	-1	55
k141_4117	52746	53345	1	56
k141_5374	2	172	1	1
k141_5374	193	927	1	2
k141_5374	941	1447	-1	3
k141_5374	1475	1762	-1	4
k141_5374	2133	2378	1	5
k141_5374	2602	3264	1	6
k141_5374	3983	4384	1	7
k141_5374	4922	8527	-1	8
k141_5374	8773	9297	-1	9
k141_5374	11455	11751	1	10
k141_5374	11828	12775	1	11
k141_5374	13258	13605	1	12
k141_5374	13803	15134	1	13
k141_5374	15131	15523	1	14
k141_5374	15719	16948	-1	15
k141_5374	16926	17954	-1	16
k141_5374	17954	18652	-1	17
k141_5374	18842	20302	1	18
k141_5374	20451	22298	1	19
k141_5374	22310	23734	1	20
k141_5374	23818	25557	1	21
k141_5374	25586	29125	1	22
k141_5374	29118	29828	1	23
k141_5374	29825	30778	1	24
k141_5374	30769	31773	1	25
k141_5374	31757	33124	-1	26
k141_5374	33394	34374	1	27
k141_5374	34407	34892	1	28
k141_5374	34991	36073	1	29
k141_5374	36097	41334	1	30
k141_5374	41334	43604	1	31
