genome	latitude_group	confirmed_cas_operon	putative_hits
GOMC.bin.12905	?	Yes	47
GOMC.bin.12906	?	No	48
GOMC.bin.12907	?	No	27
GOMC.bin.12909	?	No	23
GOMC.bin.12910	?	Yes	44
GOMC.bin.4441	?	No	19
GOMC.bin.4442	?	No	28
GOMC.bin.4443	?	No	25
GOMC.bin.4444	?	No	26
GOMC.bin.4711	?	No	16
